Library_Imports,Data_Type,Preprocessing_Techniques,Model_Type,Optimizer,Loss_Function,Epochs,Batch_Size,Validation_Technique,Evaluation_Metrics,Code_ID
"pandas, tensorflow, transformers",Tabular,Tokenization,Random Forest,RMSprop,categorical_crossentropy,8,16,Validation Split,"Accuracy, Recall",code_058.py
"tensorflow, numpy",Tabular,Tokenization,CNN,RMSprop,mean_squared_error,18,32,Validation Split,Accuracy,code_059.py
"tensorflow, scikit-learn",Text,Image Augmentation,CNN,,,8,64,,"Precision, Recall",code_060.py
"pandas, tensorflow, transformers",Tabular,Image Augmentation,Random Forest,,,15,16,,"Accuracy, Precision",code_061.py
"tensorflow, scikit-learn",Tabular,Tokenization,CNN,Adam,categorical_crossentropy,8,16,Cross-Validation,Accuracy,code_062.py
"tensorflow, numpy",Text,Image Augmentation,Random Forest,RMSprop,mean_squared_error,20,32,Cross-Validation,"Accuracy, Recall",code_063.py
"tensorflow, scikit-learn",Tabular,Scaling,CNN,SGD,categorical_crossentropy,15,32,Validation Split,"Accuracy, Precision",code_064.py
"pandas, scikit-learn",Text,Image Augmentation,Random Forest,Adam,mean_squared_error,25,64,Validation Split,Accuracy,code_065.py
"tensorflow, keras, sklearn",Tabular,Tokenization,Random Forest,RMSprop,mean_squared_error,25,64,Validation Split,"Accuracy, Recall",code_066.py
"tensorflow, numpy",Audio,Image Augmentation,Random Forest,RMSprop,categorical_crossentropy,8,32,Cross-Validation,"Precision, Recall",code_067.py
"pandas, numpy, tensorflow, sklearn",Audio,Scaling,Transformer,SGD,mean_squared_error,15,32,Validation Split,"Accuracy, Recall",code_068.py
"tensorflow, keras, sklearn",Image,Image Augmentation,CNN,SGD,mean_squared_error,8,64,Validation Split,Accuracy,code_069.py
"tensorflow, scikit-learn",Text,Scaling,CNN,,,10,64,,"Accuracy, Precision",code_070.py
"pandas, numpy, tensorflow, sklearn",Text,Scaling,RNN,SGD,categorical_crossentropy,15,16,Validation Split,"Accuracy, Precision",code_071.py
"tensorflow, scikit-learn",Text,Scaling,Random Forest,Adam,categorical_crossentropy,18,32,Cross-Validation,Accuracy,code_072.py
"pandas, tensorflow, transformers",Audio,Image Augmentation,Random Forest,SGD,categorical_crossentropy,15,32,Cross-Validation,"Accuracy, Precision",code_073.py
"pandas, tensorflow, transformers",Image,Scaling,Random Forest,,,8,64,,"Accuracy, Precision",code_074.py
"tensorflow, keras",Text,Image Augmentation,Random Forest,SGD,mean_squared_error,18,64,Validation Split,"Accuracy, Recall",code_075.py
"pandas, tensorflow, transformers",Image,Image Augmentation,Random Forest,SGD,mean_squared_error,25,64,Validation Split,Accuracy,code_076.py
"pandas, scikit-learn",Tabular,Tokenization,RNN,,,10,16,,"Accuracy, Recall",code_077.py
"tensorflow, numpy",Image,Scaling,Transformer,Adam,categorical_crossentropy,20,16,Cross-Validation,"Accuracy, Precision",code_078.py
"tensorflow, numpy",Text,Image Augmentation,CNN,,,20,16,,"Precision, Recall",code_079.py
"tensorflow, scikit-learn",Text,Scaling,CNN,,,25,64,,"Precision, Recall",code_080.py
"pandas, scikit-learn",Text,Tokenization,RNN,,,12,64,,"Accuracy, Recall",code_081.py
"tensorflow, scikit-learn",Text,Scaling,RNN,,,10,16,,Accuracy,code_082.py
"tensorflow, keras, sklearn",Image,Tokenization,Transformer,Adam,mean_squared_error,18,16,Validation Split,"Accuracy, Precision",code_083.py
"tensorflow, keras, sklearn",Audio,Image Augmentation,Transformer,,,8,16,,"Precision, Recall",code_084.py
"pandas, numpy, tensorflow, sklearn",Image,Scaling,CNN,RMSprop,mean_squared_error,12,16,Validation Split,"Accuracy, Recall",code_085.py
"tensorflow, scikit-learn",Tabular,Tokenization,Random Forest,Adam,mean_squared_error,8,64,Cross-Validation,"Accuracy, Recall",code_086.py
"tensorflow, scikit-learn",Text,Scaling,Transformer,RMSprop,categorical_crossentropy,12,32,Validation Split,"Accuracy, Precision",code_087.py
"pandas, scikit-learn",Tabular,Scaling,RNN,,,18,32,,"Accuracy, Recall",code_088.py
"tensorflow, keras, sklearn",Image,Tokenization,CNN,SGD,mean_squared_error,18,16,Validation Split,"Precision, Recall",code_089.py
"tensorflow, numpy",Tabular,Tokenization,RNN,Adam,mean_squared_error,10,32,Cross-Validation,"Precision, Recall",code_090.py
"pandas, tensorflow, transformers",Image,Tokenization,Random Forest,SGD,categorical_crossentropy,10,32,Cross-Validation,"Accuracy, Precision",code_091.py
"tensorflow, keras",Text,Scaling,CNN,RMSprop,categorical_crossentropy,25,32,Validation Split,"Accuracy, Recall",code_092.py
"tensorflow, keras, sklearn",Text,Image Augmentation,RNN,Adam,mean_squared_error,20,64,Cross-Validation,"Accuracy, Recall",code_093.py
"pandas, numpy, tensorflow, sklearn",Image,Image Augmentation,Random Forest,Adam,categorical_crossentropy,20,32,Cross-Validation,"Accuracy, Recall",code_094.py
"tensorflow, keras",Text,Scaling,RNN,Adam,mean_squared_error,12,16,Cross-Validation,Accuracy,code_095.py
"tensorflow, keras, sklearn",Tabular,Tokenization,Random Forest,,,15,64,,"Accuracy, Precision",code_096.py
"pandas, tensorflow, transformers",Text,Image Augmentation,RNN,SGD,categorical_crossentropy,25,32,Cross-Validation,"Accuracy, Precision",code_097.py
"tensorflow, keras",Text,Tokenization,CNN,RMSprop,mean_squared_error,18,16,Validation Split,"Accuracy, Recall",code_098.py
"tensorflow, keras",Audio,Scaling,Random Forest,SGD,categorical_crossentropy,15,16,Cross-Validation,"Precision, Recall",code_099.py
"tensorflow, keras, sklearn",Tabular,Image Augmentation,CNN,Adam,categorical_crossentropy,18,16,Validation Split,"Accuracy, Recall",code_100.py
"pandas, numpy, tensorflow, sklearn",Audio,Scaling,CNN,SGD,categorical_crossentropy,25,32,Cross-Validation,Accuracy,code_101.py
"tensorflow, keras, sklearn",Audio,Tokenization,Transformer,Adam,categorical_crossentropy,8,64,Cross-Validation,Accuracy,code_102.py
"pandas, numpy, tensorflow, sklearn",Image,Tokenization,Random Forest,,,25,16,,"Precision, Recall",code_103.py
"tensorflow, numpy",Image,Image Augmentation,Random Forest,Adam,mean_squared_error,25,16,Validation Split,"Accuracy, Precision",code_104.py
"tensorflow, numpy",Tabular,Image Augmentation,CNN,SGD,mean_squared_error,18,16,Validation Split,"Precision, Recall",code_105.py
"tensorflow, numpy",Tabular,Image Augmentation,RNN,,,10,16,,Accuracy,code_106.py
"tensorflow, numpy",Audio,Tokenization,Random Forest,RMSprop,categorical_crossentropy,25,32,Cross-Validation,Accuracy,code_107.py
"tensorflow, keras",Image,Image Augmentation,CNN,,,15,16,,Accuracy,code_108.py
"tensorflow, keras, sklearn",Tabular,Image Augmentation,Random Forest,Adam,categorical_crossentropy,15,16,Validation Split,"Accuracy, Precision",code_109.py
"pandas, numpy, tensorflow, sklearn",Text,Scaling,Transformer,SGD,categorical_crossentropy,10,16,Validation Split,"Precision, Recall",code_110.py
"pandas, numpy, tensorflow, sklearn",Text,Image Augmentation,RNN,,,10,64,,Accuracy,code_111.py
"pandas, tensorflow, transformers",Tabular,Tokenization,Random Forest,SGD,mean_squared_error,25,64,Cross-Validation,"Accuracy, Precision",code_112.py
"tensorflow, keras",Tabular,Image Augmentation,CNN,RMSprop,categorical_crossentropy,15,32,Cross-Validation,Accuracy,code_113.py
"pandas, scikit-learn",Tabular,Scaling,RNN,RMSprop,categorical_crossentropy,8,64,Cross-Validation,"Accuracy, Precision",code_114.py
"tensorflow, keras, sklearn",Text,Image Augmentation,Transformer,SGD,mean_squared_error,18,64,Cross-Validation,"Accuracy, Recall",code_115.py
"tensorflow, keras",Image,Tokenization,CNN,Adam,mean_squared_error,25,64,Validation Split,Accuracy,code_116.py
"tensorflow, scikit-learn",Audio,Image Augmentation,CNN,Adam,categorical_crossentropy,10,64,Cross-Validation,"Precision, Recall",code_117.py
"pandas, numpy, tensorflow, sklearn",Tabular,Image Augmentation,Transformer,Adam,mean_squared_error,25,32,Validation Split,"Accuracy, Recall",code_118.py
"pandas, tensorflow, transformers",Tabular,Tokenization,Random Forest,SGD,mean_squared_error,18,16,Validation Split,"Accuracy, Precision",code_119.py
"tensorflow, scikit-learn",Audio,Tokenization,CNN,,,8,64,,"Accuracy, Precision",code_120.py
"pandas, scikit-learn",Tabular,Image Augmentation,CNN,SGD,categorical_crossentropy,15,16,Cross-Validation,"Accuracy, Recall",code_121.py
"tensorflow, numpy",Audio,Scaling,Transformer,Adam,categorical_crossentropy,12,32,Validation Split,"Accuracy, Recall",code_122.py
"pandas, scikit-learn",Audio,Tokenization,CNN,SGD,mean_squared_error,10,16,Validation Split,"Precision, Recall",code_123.py
"tensorflow, numpy",Tabular,Scaling,CNN,RMSprop,categorical_crossentropy,25,32,Validation Split,"Accuracy, Precision",code_124.py
"pandas, scikit-learn",Tabular,Scaling,CNN,SGD,mean_squared_error,12,16,Validation Split,"Precision, Recall",code_125.py
"tensorflow, keras",Image,Image Augmentation,CNN,,,15,32,,"Accuracy, Recall",code_126.py
"tensorflow, keras",Audio,Image Augmentation,Random Forest,,,18,32,,"Accuracy, Precision",code_127.py
"tensorflow, keras",Text,Tokenization,RNN,RMSprop,categorical_crossentropy,12,64,Cross-Validation,"Accuracy, Recall",code_128.py
"tensorflow, keras",Audio,Scaling,Random Forest,Adam,mean_squared_error,12,32,Cross-Validation,"Accuracy, Precision",code_129.py
"tensorflow, numpy",Text,Tokenization,CNN,SGD,categorical_crossentropy,15,16,Cross-Validation,Accuracy,code_130.py
"pandas, scikit-learn",Audio,Tokenization,RNN,RMSprop,categorical_crossentropy,8,64,Cross-Validation,"Accuracy, Recall",code_131.py
"tensorflow, keras, sklearn",Audio,Scaling,Random Forest,SGD,categorical_crossentropy,15,64,Validation Split,"Precision, Recall",code_132.py
"tensorflow, keras, sklearn",Audio,Image Augmentation,CNN,,,18,64,,Accuracy,code_133.py
"pandas, numpy, tensorflow, sklearn",Text,Image Augmentation,RNN,,,8,16,,"Accuracy, Precision",code_134.py
"tensorflow, keras, sklearn",Tabular,Image Augmentation,Transformer,Adam,mean_squared_error,25,32,Validation Split,Accuracy,code_135.py
"tensorflow, keras, sklearn",Tabular,Tokenization,Transformer,Adam,mean_squared_error,18,32,Cross-Validation,Accuracy,code_136.py
"pandas, numpy, tensorflow, sklearn",Audio,Scaling,RNN,Adam,categorical_crossentropy,10,64,Cross-Validation,"Accuracy, Precision",code_137.py
"tensorflow, scikit-learn",Image,Image Augmentation,Transformer,Adam,mean_squared_error,20,64,Validation Split,"Precision, Recall",code_138.py
"tensorflow, numpy",Tabular,Scaling,Transformer,RMSprop,categorical_crossentropy,20,32,Validation Split,Accuracy,code_139.py
"tensorflow, keras",Audio,Image Augmentation,CNN,,,12,64,,"Precision, Recall",code_140.py
"pandas, scikit-learn",Tabular,Scaling,CNN,,,12,64,,"Accuracy, Recall",code_141.py
"pandas, numpy, tensorflow, sklearn",Audio,Tokenization,RNN,RMSprop,mean_squared_error,12,16,Cross-Validation,"Accuracy, Recall",code_142.py
"tensorflow, keras",Text,Scaling,Transformer,Adam,mean_squared_error,15,16,Cross-Validation,"Accuracy, Precision",code_143.py
"pandas, numpy, tensorflow, sklearn",Audio,Scaling,RNN,SGD,categorical_crossentropy,12,32,Validation Split,"Accuracy, Recall",code_144.py
"tensorflow, numpy",Image,Tokenization,Transformer,RMSprop,categorical_crossentropy,8,64,Validation Split,Accuracy,code_145.py
"pandas, numpy, tensorflow, sklearn",Tabular,Scaling,Transformer,Adam,categorical_crossentropy,8,32,Cross-Validation,"Accuracy, Recall",code_146.py
"tensorflow, scikit-learn",Tabular,Tokenization,RNN,,,12,64,,"Accuracy, Recall",code_147.py
"pandas, scikit-learn",Tabular,Image Augmentation,RNN,,,12,32,,"Accuracy, Precision",code_148.py
"tensorflow, keras",Audio,Tokenization,CNN,,,18,32,,Accuracy,code_149.py
"tensorflow, keras",Audio,Tokenization,RNN,RMSprop,categorical_crossentropy,20,16,Cross-Validation,"Precision, Recall",code_150.py
"tensorflow, numpy",Image,Tokenization,Random Forest,,,20,32,,"Accuracy, Recall",code_151.py
"tensorflow, keras, sklearn",Audio,Image Augmentation,Random Forest,Adam,categorical_crossentropy,25,32,Validation Split,"Accuracy, Precision",code_152.py
"pandas, scikit-learn",Tabular,Image Augmentation,CNN,SGD,categorical_crossentropy,8,64,Validation Split,"Accuracy, Precision",code_153.py
"tensorflow, numpy",Text,Image Augmentation,CNN,,,18,64,,"Accuracy, Precision",code_154.py
"tensorflow, keras",Tabular,Image Augmentation,CNN,SGD,mean_squared_error,8,32,Cross-Validation,Accuracy,code_155.py
"tensorflow, keras, sklearn",Text,Tokenization,RNN,,,10,16,,"Accuracy, Precision",code_156.py
"pandas, tensorflow, transformers",Audio,Image Augmentation,RNN,Adam,categorical_crossentropy,18,16,Validation Split,Accuracy,code_157.py
"pandas, numpy, tensorflow, sklearn",Tabular,Tokenization,CNN,Adam,mean_squared_error,8,32,Validation Split,"Precision, Recall",code_158.py
"tensorflow, keras",Text,Scaling,CNN,RMSprop,mean_squared_error,18,32,Validation Split,"Precision, Recall",code_159.py
"tensorflow, scikit-learn",Text,Image Augmentation,Transformer,RMSprop,categorical_crossentropy,18,64,Cross-Validation,"Accuracy, Precision",code_160.py
"tensorflow, keras, sklearn",Text,Tokenization,Random Forest,,,12,32,,"Accuracy, Recall",code_161.py
"tensorflow, keras",Image,Scaling,CNN,RMSprop,mean_squared_error,15,32,Validation Split,"Accuracy, Recall",code_162.py
"tensorflow, keras, sklearn",Audio,Image Augmentation,Transformer,,,20,64,,Accuracy,code_163.py
"pandas, tensorflow, transformers",Audio,Image Augmentation,Transformer,SGD,categorical_crossentropy,10,64,Cross-Validation,"Precision, Recall",code_164.py
"pandas, scikit-learn",Audio,Tokenization,CNN,Adam,categorical_crossentropy,25,16,Validation Split,Accuracy,code_165.py
"pandas, tensorflow, transformers",Tabular,Scaling,Transformer,SGD,categorical_crossentropy,18,16,Cross-Validation,"Accuracy, Precision",code_166.py
"pandas, tensorflow, transformers",Tabular,Image Augmentation,RNN,Adam,categorical_crossentropy,10,64,Cross-Validation,Accuracy,code_167.py
"tensorflow, keras",Text,Image Augmentation,Random Forest,,,15,64,,Accuracy,code_168.py
"pandas, numpy, tensorflow, sklearn",Image,Image Augmentation,Random Forest,,,15,64,,"Accuracy, Precision",code_169.py
"tensorflow, keras",Tabular,Image Augmentation,CNN,SGD,categorical_crossentropy,20,16,Validation Split,"Precision, Recall",code_170.py
"pandas, tensorflow, transformers",Image,Scaling,Random Forest,Adam,mean_squared_error,15,16,Cross-Validation,"Accuracy, Precision",code_171.py
"tensorflow, keras",Tabular,Scaling,RNN,,,25,64,,"Precision, Recall",code_172.py
"pandas, numpy, tensorflow, sklearn",Tabular,Scaling,CNN,Adam,mean_squared_error,18,32,Cross-Validation,"Accuracy, Precision",code_173.py
"tensorflow, numpy",Text,Image Augmentation,Random Forest,,,25,16,,Accuracy,code_174.py
"pandas, numpy, tensorflow, sklearn",Text,Scaling,RNN,SGD,mean_squared_error,12,16,Cross-Validation,Accuracy,code_175.py
"pandas, tensorflow, transformers",Image,Scaling,Random Forest,,,15,16,,Accuracy,code_176.py
"tensorflow, scikit-learn",Tabular,Tokenization,Transformer,RMSprop,mean_squared_error,8,16,Cross-Validation,"Precision, Recall",code_177.py
"pandas, scikit-learn",Text,Tokenization,RNN,Adam,categorical_crossentropy,12,16,Validation Split,Accuracy,code_178.py
"tensorflow, numpy",Tabular,Tokenization,Transformer,,,10,16,,"Accuracy, Precision",code_179.py
"pandas, scikit-learn",Tabular,Image Augmentation,RNN,,,10,64,,"Precision, Recall",code_180.py
"tensorflow, scikit-learn",Image,Scaling,CNN,RMSprop,categorical_crossentropy,10,64,Cross-Validation,Accuracy,code_181.py
"pandas, numpy, tensorflow, sklearn",Image,Scaling,RNN,SGD,categorical_crossentropy,10,32,Validation Split,Accuracy,code_182.py
"pandas, numpy, tensorflow, sklearn",Tabular,Image Augmentation,Random Forest,SGD,mean_squared_error,25,32,Validation Split,Accuracy,code_183.py
"pandas, numpy, tensorflow, sklearn",Audio,Scaling,Random Forest,SGD,categorical_crossentropy,8,32,Validation Split,Accuracy,code_184.py
"pandas, numpy, tensorflow, sklearn",Audio,Image Augmentation,CNN,Adam,categorical_crossentropy,8,64,Cross-Validation,"Precision, Recall",code_185.py
"pandas, numpy, tensorflow, sklearn",Audio,Scaling,Transformer,Adam,mean_squared_error,12,64,Cross-Validation,"Precision, Recall",code_186.py
"tensorflow, keras",Text,Tokenization,Random Forest,SGD,categorical_crossentropy,20,64,Cross-Validation,"Precision, Recall",code_187.py
"pandas, scikit-learn",Tabular,Scaling,RNN,,,20,32,,"Accuracy, Precision",code_188.py
"pandas, tensorflow, transformers",Image,Scaling,CNN,Adam,categorical_crossentropy,25,32,Cross-Validation,"Accuracy, Recall",code_189.py
"tensorflow, scikit-learn",Text,Image Augmentation,CNN,,,12,32,,"Accuracy, Recall",code_190.py
"pandas, numpy, tensorflow, sklearn",Text,Scaling,Random Forest,,,8,64,,"Precision, Recall",code_191.py
"tensorflow, scikit-learn",Text,Tokenization,Transformer,Adam,categorical_crossentropy,10,64,Validation Split,"Accuracy, Precision",code_192.py
"pandas, scikit-learn",Image,Scaling,CNN,RMSprop,categorical_crossentropy,18,64,Cross-Validation,"Precision, Recall",code_193.py
"pandas, scikit-learn",Image,Image Augmentation,Random Forest,Adam,categorical_crossentropy,25,16,Cross-Validation,"Accuracy, Recall",code_194.py
"pandas, numpy, tensorflow, sklearn",Tabular,Scaling,RNN,RMSprop,categorical_crossentropy,15,64,Cross-Validation,"Accuracy, Recall",code_195.py
"tensorflow, keras",Image,Scaling,Random Forest,RMSprop,mean_squared_error,25,32,Validation Split,"Accuracy, Precision",code_196.py
"pandas, scikit-learn",Audio,Image Augmentation,Random Forest,Adam,mean_squared_error,10,16,Cross-Validation,"Precision, Recall",code_197.py
"pandas, tensorflow, transformers",Text,Tokenization,Random Forest,Adam,categorical_crossentropy,18,64,Validation Split,"Accuracy, Recall",code_198.py
"pandas, tensorflow, transformers",Text,Scaling,CNN,SGD,categorical_crossentropy,18,64,Validation Split,"Accuracy, Recall",code_199.py
"pandas, numpy, tensorflow, sklearn",Audio,Scaling,CNN,,,18,16,,Accuracy,code_200.py
"tensorflow, numpy",Image,Scaling,Random Forest,,,8,16,,"Accuracy, Recall",code_201.py
"tensorflow, numpy",Audio,Tokenization,RNN,Adam,mean_squared_error,25,16,Validation Split,"Accuracy, Recall",code_202.py
"tensorflow, keras, sklearn",Audio,Image Augmentation,Random Forest,RMSprop,categorical_crossentropy,20,32,Cross-Validation,Accuracy,code_203.py
"tensorflow, keras, sklearn",Image,Tokenization,Transformer,Adam,mean_squared_error,20,32,Cross-Validation,"Precision, Recall",code_204.py
"tensorflow, keras",Tabular,Image Augmentation,CNN,RMSprop,mean_squared_error,25,64,Validation Split,"Accuracy, Precision",code_205.py
"pandas, scikit-learn",Text,Scaling,RNN,,,12,32,,"Precision, Recall",code_206.py
"tensorflow, scikit-learn",Audio,Tokenization,Transformer,Adam,categorical_crossentropy,10,32,Cross-Validation,"Accuracy, Recall",code_207.py
"pandas, numpy, tensorflow, sklearn",Tabular,Tokenization,Random Forest,,,20,16,,"Accuracy, Precision",code_208.py
"pandas, numpy, tensorflow, sklearn",Tabular,Scaling,Random Forest,Adam,categorical_crossentropy,12,32,Validation Split,Accuracy,code_209.py
"tensorflow, scikit-learn",Text,Scaling,RNN,,,25,64,,"Precision, Recall",code_210.py
"pandas, tensorflow, transformers",Image,Scaling,RNN,,,25,32,,Accuracy,code_211.py
"pandas, numpy, tensorflow, sklearn",Image,Tokenization,Random Forest,SGD,categorical_crossentropy,20,16,Validation Split,Accuracy,code_212.py
"pandas, numpy, tensorflow, sklearn",Text,Tokenization,Random Forest,SGD,categorical_crossentropy,18,32,Validation Split,"Precision, Recall",code_213.py
"tensorflow, keras",Text,Scaling,Transformer,,,18,32,,"Precision, Recall",code_214.py
"pandas, numpy, tensorflow, sklearn",Text,Image Augmentation,Random Forest,Adam,categorical_crossentropy,8,64,Validation Split,"Accuracy, Recall",code_215.py
"pandas, numpy, tensorflow, sklearn",Text,Scaling,RNN,,,15,16,,"Accuracy, Precision",code_216.py
